# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.618587e-01	2.077761e-01	2.052178e-01
0             	defaultFaces	1.436906e-01	2.152001e-01	2.046558e-01
100           	wall_b	3.163728e-03	4.147528e-01	6.666276e-02
100           	defaultFaces	3.012067e-03	3.396324e-01	6.406255e-02
200           	wall_b	1.183960e-03	1.489953e-01	3.412231e-02
200           	defaultFaces	1.214738e-03	1.947599e-01	3.354683e-02
300           	wall_b	4.819906e-04	1.155917e-01	2.562496e-02
300           	defaultFaces	5.026964e-04	2.077464e-01	2.556040e-02
400           	wall_b	2.561542e-04	1.099801e-01	2.236896e-02
400           	defaultFaces	2.665587e-04	1.830735e-01	2.225444e-02
500           	wall_b	1.857379e-04	1.115221e-01	2.080115e-02
500           	defaultFaces	1.888060e-04	1.546187e-01	2.068241e-02
600           	wall_b	1.345377e-04	1.157518e-01	2.001232e-02
600           	defaultFaces	1.356499e-04	1.670840e-01	2.004601e-02
700           	wall_b	1.157199e-04	1.108346e-01	1.959790e-02
700           	defaultFaces	9.876451e-05	1.869635e-01	1.992346e-02
800           	wall_b	1.048526e-04	9.289195e-02	1.943991e-02
800           	defaultFaces	8.953564e-05	2.047540e-01	1.991875e-02
900           	wall_b	9.984126e-05	8.810666e-02	1.946957e-02
900           	defaultFaces	9.479177e-05	2.085828e-01	1.999877e-02
1000          	wall_b	9.922995e-05	9.118231e-02	1.946432e-02
1000          	defaultFaces	1.011358e-04	2.138173e-01	1.996056e-02
1100          	wall_b	9.055454e-05	9.604006e-02	1.937782e-02
1100          	defaultFaces	9.813717e-05	2.384379e-01	1.965124e-02
1200          	wall_b	8.056671e-05	1.051285e-01	1.936610e-02
1200          	defaultFaces	9.054611e-05	2.710053e-01	1.978665e-02
1300          	wall_b	7.454458e-05	1.117848e-01	1.935679e-02
1300          	defaultFaces	8.385261e-05	2.856030e-01	1.998002e-02
1400          	wall_b	6.642261e-05	1.168862e-01	1.935491e-02
1400          	defaultFaces	7.485119e-05	2.887323e-01	2.010730e-02
1500          	wall_b	5.983122e-05	1.177426e-01	1.934746e-02
1500          	defaultFaces	6.740601e-05	2.968863e-01	1.999684e-02
1600          	wall_b	5.407584e-05	1.115880e-01	1.929213e-02
1600          	defaultFaces	6.089752e-05	2.825538e-01	1.972604e-02
1700          	wall_b	4.781325e-05	1.102615e-01	1.923609e-02
1700          	defaultFaces	5.383134e-05	2.633995e-01	1.928010e-02
1758          	wall_b	4.392853e-05	1.104081e-01	1.924420e-02
1758          	defaultFaces	4.944065e-05	2.580832e-01	1.911368e-02
