# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.213703e-01	1.557010e-01	1.542260e-01
0             	defaultFaces	1.144932e-01	1.638551e-01	1.539631e-01
100           	wall_b	1.719070e-03	3.679061e-01	5.099593e-02
100           	defaultFaces	1.772207e-03	3.105629e-01	5.003707e-02
200           	wall_b	7.991814e-04	1.651011e-01	2.487278e-02
200           	defaultFaces	7.558544e-04	1.463971e-01	2.459854e-02
300           	wall_b	5.425585e-04	1.023984e-01	1.791629e-02
300           	defaultFaces	4.992620e-04	1.141987e-01	1.777299e-02
400           	wall_b	3.194212e-04	8.220071e-02	1.508342e-02
400           	defaultFaces	3.268988e-04	1.170861e-01	1.503290e-02
500           	wall_b	1.993650e-04	7.403361e-02	1.363927e-02
500           	defaultFaces	2.038844e-04	1.187415e-01	1.367512e-02
600           	wall_b	1.449791e-04	7.013250e-02	1.283968e-02
600           	defaultFaces	1.505213e-04	1.153348e-01	1.288994e-02
700           	wall_b	1.144510e-04	6.919191e-02	1.240409e-02
700           	defaultFaces	1.141308e-04	1.099253e-01	1.244290e-02
800           	wall_b	8.696161e-05	7.504054e-02	1.218927e-02
800           	defaultFaces	8.905767e-05	9.991308e-02	1.222399e-02
900           	wall_b	7.588840e-05	7.654321e-02	1.208736e-02
900           	defaultFaces	7.787176e-05	1.110665e-01	1.218968e-02
1000          	wall_b	7.168424e-05	7.140583e-02	1.205556e-02
1000          	defaultFaces	7.360671e-05	1.204354e-01	1.225837e-02
1100          	wall_b	7.017116e-05	6.687001e-02	1.206840e-02
1100          	defaultFaces	6.376739e-05	1.268384e-01	1.234860e-02
1200          	wall_b	6.898727e-05	6.687003e-02	1.209303e-02
1200          	defaultFaces	6.040328e-05	1.310473e-01	1.241756e-02
1300          	wall_b	6.799608e-05	6.687004e-02	1.212368e-02
1300          	defaultFaces	6.264753e-05	1.354904e-01	1.248074e-02
1400          	wall_b	6.816953e-05	6.687000e-02	1.213238e-02
1400          	defaultFaces	6.785090e-05	1.427132e-01	1.255232e-02
1500          	wall_b	6.751512e-05	6.687004e-02	1.211024e-02
1500          	defaultFaces	6.989578e-05	1.520558e-01	1.254668e-02
1600          	wall_b	6.252256e-05	6.790248e-02	1.206143e-02
1600          	defaultFaces	6.470160e-05	1.628864e-01	1.244667e-02
1700          	wall_b	5.803903e-05	7.055770e-02	1.201165e-02
1700          	defaultFaces	5.877948e-05	1.729887e-01	1.240837e-02
1800          	wall_b	5.238862e-05	7.172696e-02	1.197443e-02
1800          	defaultFaces	5.306731e-05	1.799534e-01	1.244952e-02
1884          	wall_b	4.841439e-05	7.185823e-02	1.195272e-02
1884          	defaultFaces	4.904983e-05	1.850306e-01	1.249868e-02
