# Region type : patch ent
# Faces  :    280
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	0.000000e+00
2             	0.000000e+00
3             	0.000000e+00
4             	-1.107887e-01
5             	-8.787476e-02
6             	-8.190094e-02
7             	-6.068331e-02
8             	-5.436577e-02
9             	-4.075764e-02
10            	-2.877148e-02
11            	-2.015314e-02
12            	-1.410720e-02
13            	-9.875039e-03
14            	-6.912527e-03
15            	-4.838769e-03
16            	-3.387138e-03
17            	-2.370997e-03
18            	-1.659698e-03
19            	-1.161788e-03
20            	-8.132519e-04
21            	-5.692763e-04
22            	-3.984934e-04
23            	-2.789454e-04
24            	-1.952618e-04
25            	-1.366832e-04
26            	-9.567827e-05
27            	-6.697479e-05
28            	-4.688235e-05
29            	-3.281765e-05
30            	-2.297235e-05
31            	-1.608065e-05
32            	-1.125645e-05
33            	-7.879517e-06
34            	-5.515662e-06
35            	-3.860963e-06
36            	-2.702674e-06
37            	-1.891872e-06
38            	-1.324310e-06
39            	-9.270173e-07
40            	-6.489121e-07
41            	-4.542385e-07
42            	-3.179669e-07
43            	-2.225769e-07
44            	-1.558038e-07
45            	-1.090627e-07
46            	-7.634386e-08
47            	-5.344070e-08
48            	-3.740849e-08
49            	-2.618595e-08
50            	-1.833016e-08
51            	-1.283111e-08
52            	-8.981779e-09
53            	-6.287245e-09
54            	-4.401072e-09
55            	-3.080750e-09
56            	-2.156525e-09
57            	-1.509568e-09
58            	-1.056697e-09
59            	-7.396881e-10
60            	-5.177817e-10
61            	-3.624472e-10
62            	-2.537130e-10
63            	-1.775991e-10
64            	-1.243194e-10
65            	-8.702357e-11
66            	-6.091650e-11
67            	-4.264155e-11
68            	-2.984908e-11
69            	-2.089436e-11
70            	-1.462605e-11
71            	-1.023824e-11
72            	-7.166765e-12
73            	-5.016736e-12
74            	-3.511715e-12
75            	-2.458200e-12
76            	-1.720740e-12
77            	-1.204518e-12
78            	-8.431628e-13
79            	-5.902139e-13
80            	-4.131497e-13
81            	-2.892048e-13
82            	-2.024434e-13
83            	-1.417104e-13
84            	-9.919725e-14
85            	-6.943808e-14
86            	-4.860665e-14
87            	-3.402466e-14
88            	-2.381726e-14
89            	-1.667208e-14
90            	-1.167046e-14
91            	-8.169320e-15
92            	-5.718524e-15
93            	-4.002967e-15
94            	-2.802077e-15
95            	-1.961454e-15
96            	-1.373018e-15
97            	-9.611124e-16
98            	-6.727787e-16
99            	-4.709451e-16
100           	-3.296615e-16
101           	-2.307631e-16
102           	-1.615342e-16
103           	-1.130739e-16
104           	-7.915174e-17
105           	-5.540622e-17
106           	-3.878435e-17
107           	-2.714905e-17
108           	-1.900433e-17
109           	-1.330303e-17
110           	-9.312123e-18
111           	-6.518486e-18
112           	-4.562940e-18
113           	-3.194058e-18
114           	-2.235841e-18
115           	-1.565088e-18
116           	-1.095562e-18
117           	-7.668934e-19
118           	-5.368253e-19
119           	-3.757777e-19
120           	-2.630444e-19
121           	-1.841311e-19
122           	-1.288918e-19
123           	-9.022424e-20
124           	-6.315697e-20
125           	-4.420988e-20
126           	-3.094691e-20
127           	-2.166284e-20
128           	-1.516399e-20
129           	-1.061479e-20
130           	-7.430354e-21
131           	-5.201248e-21
132           	-3.640873e-21
133           	-2.548611e-21
134           	-1.784028e-21
135           	-1.248820e-21
136           	-8.741737e-22
137           	-6.119216e-22
138           	-4.283451e-22
139           	-2.998416e-22
140           	-2.098891e-22
141           	-1.469224e-22
142           	-1.028457e-22
143           	-7.199196e-23
144           	-5.039437e-23
145           	-3.527606e-23
146           	-2.469324e-23
147           	-1.728527e-23
148           	-1.209969e-23
149           	-8.469782e-24
150           	-5.928848e-24
151           	-4.150193e-24
152           	-2.905135e-24
153           	-2.033595e-24
154           	-1.423516e-24
155           	-9.964614e-25
156           	-6.975230e-25
157           	-4.882661e-25
158           	-3.417863e-25
159           	-2.392504e-25
160           	-1.674753e-25
161           	-1.172327e-25
162           	-8.206288e-26
163           	-5.744402e-26
164           	-4.021081e-26
165           	-2.814757e-26
166           	-1.970330e-26
167           	-1.379231e-26
168           	-9.654616e-27
169           	-6.758231e-27
170           	-4.730762e-27
171           	-3.311533e-27
172           	-2.318073e-27
173           	-1.622651e-27
174           	-1.135856e-27
175           	-7.950992e-28
176           	-5.565694e-28
177           	-3.895986e-28
178           	-2.727190e-28
179           	-1.909033e-28
180           	-1.336323e-28
181           	-9.354262e-29
182           	-6.547983e-29
183           	-4.583588e-29
184           	-3.208512e-29
185           	-2.245958e-29
186           	-1.572171e-29
187           	-1.100520e-29
188           	-7.703637e-30
189           	-5.392546e-30
190           	-3.774782e-30
191           	-2.642348e-30
192           	-1.849643e-30
193           	-1.294750e-30
194           	-9.063252e-31
195           	-6.344276e-31
196           	-4.440993e-31
197           	-3.108695e-31
198           	-2.176087e-31
199           	-1.523261e-31
200           	-1.066283e-31
201           	-7.463978e-32
202           	-5.224784e-32
203           	-3.657349e-32
204           	-2.560144e-32
205           	-1.792101e-32
206           	-1.254471e-32
207           	-8.781295e-33
208           	-6.146907e-33
209           	-4.302835e-33
210           	-3.011984e-33
211           	-2.108389e-33
212           	-1.475872e-33
213           	-1.033111e-33
214           	-7.231774e-34
215           	-5.062242e-34
216           	-3.543569e-34
217           	-2.480499e-34
218           	-1.736349e-34
219           	-1.215444e-34
220           	-8.508110e-35
221           	-5.955677e-35
222           	-4.168974e-35
223           	-2.918282e-35
224           	-2.042797e-35
225           	-1.429958e-35
226           	-1.000971e-35
227           	-7.006794e-36
228           	-4.904756e-36
229           	-3.433329e-36
230           	-2.403330e-36
231           	-1.682331e-36
232           	-1.177632e-36
233           	-8.243424e-37
234           	-5.770396e-37
235           	-4.039278e-37
236           	-2.827494e-37
237           	-1.979246e-37
238           	-1.385472e-37
239           	-9.698305e-38
240           	-6.788814e-38
241           	-4.752170e-38
242           	-3.326519e-38
243           	-2.328563e-38
244           	-1.629994e-38
245           	-1.140996e-38
246           	-7.986971e-39
247           	-5.590880e-39
248           	-3.913616e-39
249           	-2.739531e-39
250           	-1.917672e-39
251           	-1.342370e-39
252           	-9.396592e-40
253           	-6.577614e-40
254           	-4.604330e-40
255           	-3.223031e-40
256           	-2.256122e-40
257           	-1.579285e-40
258           	-1.105500e-40
259           	-7.738498e-41
260           	-5.416948e-41
261           	-3.791864e-41
262           	-2.654305e-41
263           	-1.858013e-41
264           	-1.300609e-41
265           	-9.104265e-42
266           	-6.372986e-42
267           	-4.461090e-42
268           	-3.122763e-42
269           	-2.185934e-42
270           	-1.530154e-42
271           	-1.071108e-42
272           	-7.497754e-43
273           	-5.248428e-43
274           	-3.673899e-43
275           	-2.571730e-43
276           	-1.800211e-43
277           	-1.260147e-43
278           	-8.821032e-44
279           	-6.174723e-44
280           	-4.322306e-44
281           	-3.025614e-44
282           	-2.117930e-44
283           	-1.482551e-44
284           	-1.037786e-44
285           	-7.264499e-45
286           	-5.085150e-45
287           	-3.559605e-45
288           	-2.491723e-45
289           	-1.744206e-45
290           	-1.220944e-45
291           	-8.546611e-46
292           	-5.982628e-46
293           	-4.187839e-46
294           	-2.931488e-46
295           	-2.052041e-46
296           	-1.436429e-46
297           	-1.005500e-46
298           	-7.038502e-47
299           	-4.926951e-47
300           	-3.448866e-47
301           	-2.414206e-47
302           	-1.689944e-47
303           	-1.182961e-47
304           	-8.280727e-48
305           	-5.796509e-48
306           	-4.057556e-48
307           	-2.840289e-48
308           	-1.988202e-48
309           	-1.391742e-48
310           	-9.742192e-49
311           	-6.819535e-49
312           	-4.773674e-49
313           	-3.341572e-49
314           	-2.339100e-49
315           	-1.637370e-49
316           	-1.146159e-49
317           	-8.023114e-50
318           	-5.616180e-50
319           	-3.931326e-50
320           	-2.751928e-50
321           	-1.926350e-50
322           	-1.348445e-50
323           	-9.439114e-51
324           	-6.607380e-51
325           	-4.625166e-51
326           	-3.237616e-51
327           	-2.266331e-51
328           	-1.586432e-51
329           	-1.110502e-51
330           	-7.773516e-52
331           	-5.441461e-52
332           	-3.809023e-52
333           	-2.666316e-52
334           	-1.866421e-52
335           	-1.306495e-52
336           	-9.145464e-53
337           	-6.401825e-53
338           	-4.481277e-53
339           	-3.136894e-53
340           	-2.195826e-53
341           	-1.537078e-53
342           	-1.075955e-53
343           	-7.531683e-54
344           	-5.272178e-54
345           	-3.690525e-54
346           	-2.583367e-54
347           	-1.808357e-54
348           	-1.265850e-54
349           	-8.860949e-55
350           	-6.202665e-55
351           	-4.341865e-55
352           	-3.039306e-55
353           	-2.127514e-55
354           	-1.489260e-55
355           	-1.042482e-55
356           	-7.297373e-56
357           	-5.108161e-56
358           	-3.575713e-56
359           	-2.502999e-56
360           	-1.752099e-56
361           	-1.226469e-56
362           	-8.585286e-57
363           	-6.009700e-57
364           	-4.206790e-57
365           	-2.944753e-57
366           	-2.061327e-57
367           	-1.442929e-57
368           	-1.010050e-57
369           	-7.070352e-58
370           	-4.949247e-58
371           	-3.464473e-58
372           	-2.425131e-58
373           	-1.697592e-58
374           	-1.188314e-58
375           	-8.318199e-59
376           	-5.822739e-59
377           	-4.075917e-59
378           	-2.853142e-59
379           	-1.997200e-59
380           	-1.398040e-59
381           	-9.786278e-60
382           	-6.850394e-60
383           	-4.795276e-60
384           	-3.356693e-60
385           	-2.349685e-60
386           	-1.644780e-60
387           	-1.151346e-60
388           	-8.059421e-61
389           	-5.641594e-61
390           	-3.949116e-61
391           	-2.764381e-61
392           	-1.935067e-61
393           	-1.354547e-61
394           	-9.481828e-62
395           	-6.637279e-62
396           	-4.646096e-62
397           	-3.252267e-62
398           	-2.276587e-62
399           	-1.593611e-62
400           	-1.115528e-62
401           	-7.808693e-63
402           	-5.466085e-63
403           	-3.826259e-63
404           	-2.678382e-63
405           	-1.874867e-63
406           	-1.312407e-63
407           	-9.186849e-64
408           	-6.430794e-64
409           	-4.501556e-64
410           	-3.151089e-64
411           	-2.205762e-64
412           	-1.544034e-64
413           	-1.080824e-64
414           	-7.565765e-65
415           	-5.296036e-65
416           	-3.707225e-65
417           	-2.595057e-65
418           	-1.816540e-65
419           	-1.271578e-65
420           	-8.901047e-66
421           	-6.230733e-66
422           	-4.361513e-66
423           	-3.053059e-66
424           	-2.137141e-66
425           	-1.495999e-66
426           	-1.047199e-66
427           	-7.330395e-67
428           	-5.131276e-67
429           	-3.591894e-67
430           	-2.514325e-67
431           	-1.760028e-67
432           	-1.232019e-67
433           	-8.624136e-68
434           	-6.036895e-68
435           	-4.225827e-68
436           	-2.958079e-68
437           	-2.070655e-68
438           	-1.449459e-68
439           	-1.014621e-68
440           	-7.102347e-69
441           	-4.971643e-69
442           	-3.480150e-69
443           	-2.436105e-69
444           	-1.705274e-69
445           	-1.193691e-69
446           	-8.355840e-70
447           	-5.849088e-70
448           	-4.094362e-70
449           	-2.866053e-70
450           	-2.006237e-70
451           	-1.404366e-70
452           	-9.830563e-71
453           	-6.881394e-71
454           	-4.816976e-71
455           	-3.371883e-71
456           	-2.360318e-71
457           	-1.652223e-71
458           	-1.156556e-71
459           	-8.095891e-72
460           	-5.667124e-72
461           	-3.966987e-72
462           	-2.776891e-72
463           	-1.943823e-72
464           	-1.360676e-72
465           	-9.524735e-73
466           	-6.667314e-73
467           	-4.667120e-73
468           	-3.266984e-73
469           	-2.286889e-73
470           	-1.600822e-73
471           	-1.120576e-73
472           	-7.844029e-74
473           	-5.490820e-74
474           	-3.843574e-74
475           	-2.690502e-74
476           	-1.883351e-74
477           	-1.318346e-74
478           	-9.228421e-75
479           	-6.459895e-75
480           	-4.521926e-75
481           	-3.165349e-75
482           	-2.215744e-75
483           	-1.551021e-75
484           	-1.085715e-75
485           	-7.600002e-76
486           	-5.320001e-76
487           	-3.724001e-76
488           	-2.606801e-76
489           	-1.824760e-76
490           	-1.277332e-76
491           	-8.941326e-77
492           	-6.258928e-77
493           	-4.381250e-77
494           	-3.066875e-77
495           	-2.146812e-77
496           	-1.502769e-77
497           	-1.051938e-77
498           	-7.363567e-78
499           	-5.154497e-78
500           	-3.608148e-78
501           	-2.525703e-78
502           	-1.767992e-78
503           	-1.237595e-78
504           	-8.663162e-79
505           	-6.064214e-79
506           	-4.244950e-79
507           	-2.971465e-79
508           	-2.080025e-79
509           	-1.456018e-79
510           	-1.019212e-79
511           	-7.134487e-80
512           	-4.994141e-80
513           	-3.495899e-80
514           	-2.447129e-80
515           	-1.712990e-80
516           	-1.199093e-80
517           	-8.393652e-81
518           	-5.875557e-81
519           	-4.112890e-81
520           	-2.879023e-81
521           	-2.015316e-81
522           	-1.410721e-81
523           	-9.875048e-82
524           	-6.912534e-82
525           	-4.838774e-82
526           	-3.387141e-82
527           	-2.370999e-82
528           	-1.659699e-82
529           	-1.161790e-82
530           	-8.132527e-83
531           	-5.692769e-83
532           	-3.984938e-83
533           	-2.789457e-83
534           	-1.952620e-83
535           	-1.366834e-83
536           	-9.567836e-84
537           	-6.697485e-84
538           	-4.688240e-84
539           	-3.281768e-84
540           	-2.297238e-84
541           	-1.608066e-84
542           	-1.125646e-84
543           	-7.879525e-85
544           	-5.515667e-85
545           	-3.860967e-85
546           	-2.702677e-85
547           	-1.891874e-85
548           	-1.324312e-85
549           	-9.270182e-86
550           	-6.489127e-86
551           	-4.542389e-86
552           	-3.179672e-86
553           	-2.225771e-86
554           	-1.558039e-86
555           	-1.090628e-86
556           	-7.634393e-87
557           	-5.344075e-87
558           	-3.740853e-87
559           	-2.618597e-87
560           	-1.833018e-87
561           	-1.283113e-87
562           	-8.981788e-88
563           	-6.287251e-88
564           	-4.401076e-88
565           	-3.080753e-88
566           	-2.156527e-88
567           	-1.509569e-88
568           	-1.056698e-88
569           	-7.396888e-89
570           	-5.177822e-89
571           	-3.624475e-89
572           	-2.537133e-89
573           	-1.775993e-89
574           	-1.243195e-89
575           	-8.702365e-90
576           	-6.091656e-90
577           	-4.264159e-90
578           	-2.984911e-90
579           	-2.089438e-90
580           	-1.462606e-90
581           	-1.023825e-90
582           	-7.166772e-91
583           	-5.016740e-91
584           	-3.511718e-91
585           	-2.458203e-91
586           	-1.720742e-91
587           	-1.204519e-91
588           	-8.431635e-92
589           	-5.902145e-92
590           	-4.131501e-92
591           	-2.892051e-92
592           	-2.024436e-92
593           	-1.417105e-92
594           	-9.919735e-93
595           	-6.943814e-93
596           	-4.860670e-93
597           	-3.402469e-93
598           	-2.381728e-93
599           	-1.667210e-93
600           	-1.167047e-93
601           	-8.169328e-94
602           	-5.718530e-94
603           	-4.002971e-94
604           	-2.802080e-94
605           	-1.961456e-94
606           	-1.373019e-94
607           	-9.611133e-95
608           	-6.727793e-95
609           	-4.709455e-95
610           	-3.296619e-95
611           	-2.307633e-95
612           	-1.615343e-95
613           	-1.130740e-95
614           	-7.915181e-96
615           	-5.540627e-96
616           	-3.878439e-96
617           	-2.714907e-96
618           	-1.900435e-96
619           	-1.330304e-96
620           	-9.312131e-97
621           	-6.518492e-97
622           	-4.562944e-97
623           	-3.194061e-97
624           	-2.235843e-97
625           	-1.565090e-97
626           	-1.095563e-97
627           	-7.668941e-98
628           	-5.368258e-98
629           	-3.757781e-98
630           	-2.630447e-98
631           	-1.841313e-98
632           	-1.288919e-98
633           	-9.022432e-99
634           	-6.315702e-99
635           	-4.420992e-99
636           	-3.094694e-99
637           	-2.166286e-99
638           	-1.516400e-99
639           	-1.061480e-99
640           	-7.430361e-100
641           	-5.201253e-100
642           	-3.640877e-100
643           	-2.548614e-100
644           	-1.784030e-100
645           	-1.248821e-100
646           	-8.741745e-101
647           	-6.119222e-101
648           	-4.283455e-101
649           	-2.998419e-101
650           	-2.098893e-101
651           	-1.469225e-101
652           	-1.028458e-101
653           	-7.199203e-102
654           	-5.039442e-102
655           	-3.527609e-102
656           	-2.469327e-102
657           	-1.728529e-102
658           	-1.209970e-102
659           	-8.469790e-103
660           	-5.928853e-103
661           	-4.150197e-103
662           	-2.905138e-103
663           	-2.033597e-103
664           	-1.423518e-103
665           	-9.964624e-104
666           	-6.975237e-104
667           	-4.882666e-104
668           	-3.417866e-104
669           	-2.392506e-104
670           	-1.674754e-104
671           	-1.172328e-104
672           	-8.206296e-105
673           	-5.744407e-105
674           	-4.021085e-105
675           	-2.814760e-105
676           	-1.970332e-105
677           	-1.379232e-105
678           	-9.654625e-106
