# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	3.722336e-02	5.280947e-01	4.173717e-01	4.129243e-01
3             	6.217683e-02	1.864213e-01	1.946031e-01	1.667308e-01
4             	8.848675e-02	9.087705e-02	1.486162e-01	4.972816e-01
5             	2.446788e-01	4.306637e-02	1.379089e-01	5.088582e-01
6             	1.395830e-01	5.917729e-02	1.494753e-01	3.777523e-01
7             	8.756275e-02	1.016388e-01	1.576278e-01	2.389428e-01
8             	7.358972e-02	1.259280e-01	1.529294e-01	1.448465e-01
9             	7.720302e-02	1.148330e-01	1.454335e-01	2.427656e-01
10            	9.915426e-02	6.989555e-02	1.259975e-01	3.616097e-01
11            	1.523133e-01	4.139093e-02	1.062892e-01	3.481629e-01
12            	8.565470e-02	5.232364e-02	9.228000e-02	2.639825e-01
13            	6.714432e-02	5.906673e-02	7.370932e-02	1.612848e-01
14            	6.343940e-02	4.991220e-02	5.452247e-02	9.720255e-02
15            	6.888204e-02	3.341591e-02	4.368925e-02	1.528163e-01
16            	8.433367e-02	1.902737e-02	3.699327e-02	1.897953e-01
17            	1.020981e-01	1.444574e-02	3.359929e-02	1.715763e-01
18            	8.490813e-02	1.820309e-02	3.129415e-02	1.237325e-01
19            	7.916931e-02	2.059784e-02	2.680821e-02	7.083987e-02
20            	8.086983e-02	1.771941e-02	2.197380e-02	5.598106e-02
21            	8.812654e-02	1.210436e-02	1.944115e-02	8.024587e-02
22            	9.557342e-02	1.001418e-02	1.842445e-02	9.016550e-02
23            	8.511156e-02	1.163086e-02	1.769659e-02	7.939855e-02
24            	7.923615e-02	1.282501e-02	1.596888e-02	5.756522e-02
25            	7.717905e-02	1.241844e-02	1.378276e-02	3.956384e-02
26            	7.798200e-02	1.092770e-02	1.236082e-02	4.037499e-02
27            	8.059940e-02	9.187524e-03	1.139519e-02	4.661580e-02
28            	8.368204e-02	7.797968e-03	1.041405e-02	4.664862e-02
29            	8.586155e-02	7.003756e-03	9.432931e-03	4.081497e-02
30            	8.628230e-02	6.598007e-03	8.511371e-03	3.336115e-02
31            	8.492026e-02	6.363756e-03	7.887170e-03	2.918940e-02
32            	8.232770e-02	6.332962e-03	7.717799e-03	2.958122e-02
33            	7.926439e-02	6.455865e-03	7.723879e-03	3.035966e-02
34            	7.637224e-02	6.596747e-03	7.645381e-03	2.935334e-02
35            	7.399584e-02	6.634136e-03	7.436229e-03	2.716002e-02
36            	7.219724e-02	6.525247e-03	7.162062e-03	2.527573e-02
37            	7.086594e-02	6.296889e-03	6.890566e-03	2.455034e-02
38            	6.984460e-02	6.011579e-03	6.631975e-03	2.437940e-02
39            	6.892112e-02	5.734184e-03	6.379553e-03	2.397341e-02
40            	6.791021e-02	5.500136e-03	6.139724e-03	2.314010e-02
41            	6.669584e-02	5.321407e-03	5.927264e-03	2.215987e-02
42            	6.527118e-02	5.191025e-03	5.755235e-03	2.132540e-02
43            	6.369316e-02	5.096162e-03	5.617557e-03	2.071834e-02
44            	6.205528e-02	5.021026e-03	5.499131e-03	2.021484e-02
45            	6.042470e-02	4.950760e-03	5.386723e-03	1.970877e-02
46            	5.885057e-02	4.873590e-03	5.270830e-03	1.918979e-02
47            	5.735524e-02	4.785199e-03	5.152267e-03	1.869591e-02
48            	5.594828e-02	4.686405e-03	5.033700e-03	1.825838e-02
49            	5.462235e-02	4.582534e-03	4.918533e-03	1.783432e-02
50            	5.333785e-02	4.481680e-03	4.819082e-03	1.746060e-02
51            	5.206919e-02	4.382767e-03	4.703925e-03	1.701992e-02
52            	5.081100e-02	4.293079e-03	4.604147e-03	1.660107e-02
53            	4.956108e-02	4.211915e-03	4.510398e-03	1.619394e-02
54            	4.832622e-02	4.138087e-03	4.424446e-03	1.580794e-02
55            	4.710436e-02	4.069484e-03	4.343209e-03	1.544715e-02
56            	4.590168e-02	4.004210e-03	4.265334e-03	1.511126e-02
57            	4.473463e-02	3.940500e-03	4.189737e-03	1.480157e-02
58            	4.361137e-02	3.877295e-03	4.116151e-03	1.447212e-02
59            	4.252536e-02	3.815156e-03	4.046497e-03	1.416730e-02
60            	4.147118e-02	3.754265e-03	3.979598e-03	1.388025e-02
61            	4.044772e-02	3.694879e-03	3.915037e-03	1.360466e-02
