# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.557830e-01	1.998864e-01	1.974800e-01
0             	defaultFaces	1.395661e-01	2.071340e-01	1.969743e-01
100           	wall_b	3.934223e-03	3.676122e-01	6.977231e-02
100           	defaultFaces	4.013282e-03	3.809965e-01	6.635540e-02
200           	wall_b	1.241343e-03	1.641481e-01	3.533453e-02
200           	defaultFaces	1.182631e-03	1.798054e-01	3.285705e-02
300           	wall_b	6.951482e-04	1.122650e-01	2.544845e-02
300           	defaultFaces	6.680474e-04	1.072566e-01	2.359235e-02
400           	wall_b	4.315802e-04	9.714206e-02	2.117298e-02
400           	defaultFaces	4.425551e-04	9.067689e-02	1.953472e-02
500           	wall_b	3.379454e-04	8.464199e-02	1.878677e-02
500           	defaultFaces	3.466649e-04	1.030446e-01	1.721600e-02
600           	wall_b	3.032648e-04	7.926607e-02	1.730187e-02
600           	defaultFaces	3.095861e-04	1.102768e-01	1.602555e-02
700           	wall_b	2.720717e-04	7.926604e-02	1.633175e-02
700           	defaultFaces	2.734601e-04	1.120707e-01	1.540367e-02
800           	wall_b	2.383983e-04	7.926608e-02	1.565987e-02
800           	defaultFaces	2.392624e-04	1.082802e-01	1.493864e-02
900           	wall_b	2.076250e-04	7.926606e-02	1.515309e-02
900           	defaultFaces	1.981235e-04	1.095423e-01	1.460072e-02
1000          	wall_b	1.689374e-04	7.926607e-02	1.475548e-02
1000          	defaultFaces	1.464888e-04	1.137151e-01	1.441574e-02
1100          	wall_b	1.494960e-04	7.926607e-02	1.447078e-02
1100          	defaultFaces	1.230967e-04	1.181945e-01	1.426958e-02
1200          	wall_b	1.399413e-04	7.926609e-02	1.428863e-02
1200          	defaultFaces	1.118933e-04	1.191519e-01	1.412021e-02
1300          	wall_b	1.322396e-04	7.926607e-02	1.412596e-02
1300          	defaultFaces	1.028455e-04	1.158235e-01	1.391088e-02
1400          	wall_b	1.261911e-04	7.926609e-02	1.398710e-02
1400          	defaultFaces	9.503678e-05	1.084758e-01	1.367491e-02
1500          	wall_b	1.182705e-04	7.926608e-02	1.392959e-02
1500          	defaultFaces	8.834727e-05	9.776232e-02	1.349862e-02
1600          	wall_b	1.110958e-04	7.926606e-02	1.389986e-02
1600          	defaultFaces	8.090246e-05	8.802051e-02	1.328694e-02
1700          	wall_b	1.039093e-04	7.926608e-02	1.384461e-02
1700          	defaultFaces	7.299332e-05	7.733295e-02	1.289552e-02
1800          	wall_b	9.851716e-05	7.926609e-02	1.381388e-02
1800          	defaultFaces	6.645468e-05	7.531305e-02	1.269734e-02
1900          	wall_b	9.307019e-05	7.926607e-02	1.379892e-02
1900          	defaultFaces	5.969040e-05	7.517089e-02	1.266213e-02
1964          	wall_b	8.518977e-05	7.926604e-02	1.384298e-02
1964          	defaultFaces	4.895319e-05	7.517089e-02	1.266346e-02
