# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	3.350273e-02	5.298506e-01	4.054057e-01	4.143575e-01
3             	5.413108e-02	2.005921e-01	1.900310e-01	1.608043e-01
4             	7.662678e-02	9.532104e-02	1.442866e-01	5.283325e-01
5             	2.248073e-01	4.341748e-02	1.287919e-01	5.264720e-01
6             	1.214266e-01	5.807371e-02	1.346528e-01	3.825135e-01
7             	7.446958e-02	9.815300e-02	1.394606e-01	2.396732e-01
8             	6.255788e-02	1.207828e-01	1.351337e-01	1.364806e-01
9             	6.487215e-02	1.105596e-01	1.282399e-01	2.351529e-01
10            	8.584711e-02	6.754734e-02	1.097647e-01	3.710841e-01
11            	1.494219e-01	3.821475e-02	9.077640e-02	3.595945e-01
12            	7.834593e-02	4.799887e-02	7.842573e-02	2.717596e-01
13            	5.986647e-02	5.501027e-02	6.350697e-02	1.650955e-01
14            	5.632379e-02	4.686774e-02	4.781200e-02	9.110549e-02
15            	6.154421e-02	3.193484e-02	3.844371e-02	1.489743e-01
16            	7.729187e-02	1.857945e-02	3.190213e-02	1.939418e-01
17            	1.035953e-01	1.300729e-02	2.775587e-02	1.785322e-01
18            	8.549429e-02	1.519155e-02	2.487323e-02	1.303081e-01
19            	7.890015e-02	1.723702e-02	2.085651e-02	7.503201e-02
20            	8.108853e-02	1.518539e-02	1.684494e-02	5.326410e-02
21            	8.990314e-02	1.067161e-02	1.484589e-02	7.726917e-02
22            	9.946353e-02	8.548031e-03	1.412186e-02	8.941447e-02
23            	8.625045e-02	1.007720e-02	1.382455e-02	8.015603e-02
24            	7.904235e-02	1.127453e-02	1.278080e-02	5.888445e-02
25            	7.650874e-02	1.104200e-02	1.126899e-02	3.983588e-02
26            	7.737459e-02	9.808923e-03	1.012522e-02	3.934221e-02
27            	8.052594e-02	8.247118e-03	9.215219e-03	4.675502e-02
28            	8.448407e-02	6.869228e-03	8.243350e-03	4.782227e-02
29            	8.756816e-02	5.952528e-03	7.278407e-03	4.244754e-02
30            	8.861856e-02	5.440891e-03	6.410603e-03	3.472029e-02
31            	8.741585e-02	5.185552e-03	5.820615e-03	2.938973e-02
32            	8.459075e-02	5.179549e-03	5.676927e-03	2.902801e-02
33            	8.110840e-02	5.327466e-03	5.744036e-03	3.002980e-02
34            	7.779829e-02	5.482270e-03	5.756582e-03	2.933246e-02
35            	7.509854e-02	5.537231e-03	5.649797e-03	2.722654e-02
36            	7.310911e-02	5.456147e-03	5.462818e-03	2.519949e-02
37            	7.171478e-02	5.260798e-03	5.246838e-03	2.439557e-02
38            	7.070850e-02	5.002905e-03	5.020634e-03	2.434742e-02
39            	6.983832e-02	4.739490e-03	4.790174e-03	2.405818e-02
40            	6.887493e-02	4.509903e-03	4.569852e-03	2.326729e-02
41            	6.768078e-02	4.330890e-03	4.378936e-03	2.222942e-02
42            	6.623924e-02	4.201873e-03	4.226642e-03	2.128062e-02
43            	6.461515e-02	4.110529e-03	4.111819e-03	2.058859e-02
44            	6.289950e-02	4.041938e-03	4.019499e-03	2.006120e-02
45            	6.118085e-02	3.981121e-03	3.935059e-03	1.956208e-02
46            	5.953197e-02	3.915878e-03	3.848912e-03	1.904953e-02
47            	5.797880e-02	3.840890e-03	3.758574e-03	1.855705e-02
