# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.275572e-01	1.637463e-01	1.620840e-01
0             	defaultFaces	1.166501e-01	1.725741e-01	1.618050e-01
100           	wall_b	2.133161e-03	3.798233e-01	5.390363e-02
100           	defaultFaces	2.118093e-03	3.261485e-01	5.274619e-02
200           	wall_b	1.017181e-03	1.667943e-01	2.652219e-02
200           	defaultFaces	9.247934e-04	1.580496e-01	2.610475e-02
300           	wall_b	5.473031e-04	1.050630e-01	1.918097e-02
300           	defaultFaces	5.221789e-04	1.288607e-01	1.896622e-02
400           	wall_b	3.319103e-04	9.037551e-02	1.617911e-02
400           	defaultFaces	3.354717e-04	1.348292e-01	1.615414e-02
500           	wall_b	2.063554e-04	8.144359e-02	1.467624e-02
500           	defaultFaces	2.176646e-04	1.353259e-01	1.475311e-02
600           	wall_b	1.379674e-04	7.863178e-02	1.386591e-02
600           	defaultFaces	1.457016e-04	1.274616e-01	1.393404e-02
700           	wall_b	1.150592e-04	8.496320e-02	1.344615e-02
700           	defaultFaces	1.198803e-04	1.124584e-01	1.347048e-02
800           	wall_b	9.241805e-05	8.169378e-02	1.322055e-02
800           	defaultFaces	9.792631e-05	1.151227e-01	1.327539e-02
900           	wall_b	8.500833e-05	7.859696e-02	1.309708e-02
900           	defaultFaces	9.001347e-05	1.235094e-01	1.327992e-02
1000          	wall_b	7.970805e-05	6.687428e-02	1.306398e-02
1000          	defaultFaces	8.411005e-05	1.315502e-01	1.336887e-02
1100          	wall_b	7.443163e-05	6.579003e-02	1.308432e-02
1100          	defaultFaces	7.602707e-05	1.382407e-01	1.345291e-02
1200          	wall_b	7.633835e-05	6.575066e-02	1.312313e-02
1200          	defaultFaces	7.405621e-05	1.433610e-01	1.349513e-02
1300          	wall_b	7.675301e-05	6.578728e-02	1.316054e-02
1300          	defaultFaces	7.697763e-05	1.492840e-01	1.354192e-02
1400          	wall_b	7.741919e-05	6.807375e-02	1.318679e-02
1400          	defaultFaces	8.162759e-05	1.578935e-01	1.362290e-02
1500          	wall_b	7.527259e-05	7.247633e-02	1.316857e-02
1500          	defaultFaces	7.761374e-05	1.690648e-01	1.363515e-02
1600          	wall_b	6.872278e-05	7.619919e-02	1.311673e-02
1600          	defaultFaces	7.084692e-05	1.805634e-01	1.355049e-02
1700          	wall_b	6.258550e-05	7.820391e-02	1.307028e-02
1700          	defaultFaces	6.445393e-05	1.887716e-01	1.353338e-02
1800          	wall_b	5.744154e-05	7.841955e-02	1.303578e-02
1800          	defaultFaces	5.917340e-05	1.962923e-01	1.359492e-02
1895          	wall_b	5.336575e-05	7.809658e-02	1.300638e-02
1895          	defaultFaces	5.498834e-05	1.994405e-01	1.365905e-02
