# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	2.098115e-01	2.693205e-01	2.652684e-01
0             	defaultFaces	1.864045e-01	2.768428e-01	2.641346e-01
100           	wall_b	4.613358e-03	3.439970e-01	7.146794e-02
100           	defaultFaces	4.204092e-03	3.250489e-01	6.633993e-02
200           	wall_b	1.272983e-03	1.678478e-01	4.137383e-02
200           	defaultFaces	1.311568e-03	1.715517e-01	3.725551e-02
300           	wall_b	7.007040e-04	1.331821e-01	3.296606e-02
300           	defaultFaces	6.254688e-04	1.244715e-01	2.868378e-02
400           	wall_b	3.965867e-04	1.134591e-01	2.956869e-02
400           	defaultFaces	3.859888e-04	1.113415e-01	2.559300e-02
500           	wall_b	3.040849e-04	1.113598e-01	2.803804e-02
500           	defaultFaces	2.565345e-04	1.442494e-01	2.510408e-02
600           	wall_b	2.268704e-04	1.221206e-01	2.692207e-02
600           	defaultFaces	1.922772e-04	1.779422e-01	2.534117e-02
700           	wall_b	1.828018e-04	1.249993e-01	2.592699e-02
700           	defaultFaces	1.549633e-04	1.840995e-01	2.522354e-02
800           	wall_b	1.466448e-04	1.238344e-01	2.523008e-02
800           	defaultFaces	1.242244e-04	1.821488e-01	2.420222e-02
900           	wall_b	1.190240e-04	1.184831e-01	2.486176e-02
900           	defaultFaces	1.009869e-04	1.582191e-01	2.325645e-02
1000          	wall_b	1.053782e-04	1.113598e-01	2.469999e-02
1000          	defaultFaces	8.949490e-05	1.131015e-01	2.270138e-02
1100          	wall_b	9.896997e-05	1.113598e-01	2.476040e-02
1100          	defaultFaces	6.937700e-05	1.136616e-01	2.243305e-02
1200          	wall_b	9.556975e-05	1.113598e-01	2.494629e-02
1200          	defaultFaces	8.101796e-05	1.137855e-01	2.225675e-02
1300          	wall_b	9.326042e-05	1.113598e-01	2.521787e-02
1300          	defaultFaces	7.624886e-05	1.137224e-01	2.217670e-02
1400          	wall_b	9.115518e-05	1.113598e-01	2.532157e-02
1400          	defaultFaces	7.253497e-05	1.139401e-01	2.192786e-02
1500          	wall_b	8.908576e-05	1.113598e-01	2.531441e-02
1500          	defaultFaces	6.692868e-05	1.140091e-01	2.168061e-02
1600          	wall_b	8.609615e-05	1.113598e-01	2.531098e-02
1600          	defaultFaces	5.978353e-05	1.124019e-01	2.158614e-02
1700          	wall_b	8.271658e-05	1.113598e-01	2.531676e-02
1700          	defaultFaces	5.052001e-05	1.067745e-01	2.160232e-02
1800          	wall_b	8.056459e-05	1.113598e-01	2.534221e-02
1800          	defaultFaces	4.343664e-05	1.069836e-01	2.164816e-02
1900          	wall_b	7.936586e-05	1.113598e-01	2.538396e-02
1900          	defaultFaces	3.929145e-05	1.077633e-01	2.171008e-02
2000          	wall_b	7.844629e-05	1.113598e-01	2.541276e-02
2000          	defaultFaces	3.623419e-05	1.079592e-01	2.176725e-02
2039          	wall_b	7.810004e-05	1.113598e-01	2.542244e-02
2039          	defaultFaces	6.571596e-05	1.075291e-01	2.178855e-02
