# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.598581e-01	2.051462e-01	2.026331e-01
0             	defaultFaces	1.463813e-01	2.133845e-01	2.021248e-01
100           	wall_b	3.603583e-03	4.142070e-01	7.009018e-02
100           	defaultFaces	3.696563e-03	3.493917e-01	6.680623e-02
200           	wall_b	1.258546e-03	1.655412e-01	3.571854e-02
200           	defaultFaces	1.297887e-03	1.953885e-01	3.497341e-02
300           	wall_b	4.927883e-04	1.193853e-01	2.636278e-02
300           	defaultFaces	5.565592e-04	2.082291e-01	2.645593e-02
400           	wall_b	2.821050e-04	1.148837e-01	2.266312e-02
400           	defaultFaces	3.186551e-04	1.813050e-01	2.278175e-02
500           	wall_b	2.038802e-04	1.115687e-01	2.085113e-02
500           	defaultFaces	2.216119e-04	1.483415e-01	2.086290e-02
600           	wall_b	1.411425e-04	1.101839e-01	1.988863e-02
600           	defaultFaces	1.499979e-04	1.536848e-01	1.990439e-02
700           	wall_b	1.159590e-04	1.168527e-01	1.936860e-02
700           	defaultFaces	1.220096e-04	1.672044e-01	1.959584e-02
800           	wall_b	1.002344e-04	1.007406e-01	1.909469e-02
800           	defaultFaces	1.028794e-04	1.820927e-01	1.948576e-02
900           	wall_b	9.155536e-05	9.732149e-02	1.903415e-02
900           	defaultFaces	9.556211e-05	1.971856e-01	1.944546e-02
1000          	wall_b	9.370180e-05	9.732148e-02	1.910382e-02
1000          	defaultFaces	9.655058e-05	2.065452e-01	1.944152e-02
1100          	wall_b	9.486134e-05	9.732210e-02	1.916557e-02
1100          	defaultFaces	9.859657e-05	2.254936e-01	1.963701e-02
1200          	wall_b	8.535193e-05	9.739758e-02	1.909111e-02
1200          	defaultFaces	8.864923e-05	2.409878e-01	1.928196e-02
1300          	wall_b	7.664380e-05	1.054829e-01	1.904775e-02
1300          	defaultFaces	7.965232e-05	2.692311e-01	1.930717e-02
1400          	wall_b	7.118772e-05	1.075901e-01	1.901864e-02
1400          	defaultFaces	7.416799e-05	2.823780e-01	1.943100e-02
1500          	wall_b	6.861592e-05	1.054751e-01	1.900007e-02
1500          	defaultFaces	7.162376e-05	2.777820e-01	1.950707e-02
1600          	wall_b	6.401974e-05	1.073661e-01	1.900216e-02
1600          	defaultFaces	6.685539e-05	2.806003e-01	1.955161e-02
1700          	wall_b	5.882063e-05	1.087118e-01	1.899679e-02
1700          	defaultFaces	6.142082e-05	2.876396e-01	1.951601e-02
1769          	wall_b	5.569422e-05	1.077443e-01	1.897690e-02
1769          	defaultFaces	5.816528e-05	2.865291e-01	1.941782e-02
