# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.343047e-01	1.723652e-01	1.705682e-01
0             	defaultFaces	1.270631e-01	1.797892e-01	1.702055e-01
100           	wall_b	2.870615e-03	4.250939e-01	5.953912e-02
100           	defaultFaces	2.560818e-03	3.477999e-01	5.826940e-02
200           	wall_b	9.575363e-04	1.891547e-01	2.962916e-02
200           	defaultFaces	9.406467e-04	1.999124e-01	2.875128e-02
300           	wall_b	4.946554e-04	1.172473e-01	2.112139e-02
300           	defaultFaces	4.946308e-04	1.239126e-01	1.994603e-02
400           	wall_b	3.044065e-04	9.502110e-02	1.732914e-02
400           	defaultFaces	3.057594e-04	1.090318e-01	1.607493e-02
500           	wall_b	2.603709e-04	9.502154e-02	1.525382e-02
500           	defaultFaces	2.620472e-04	1.090324e-01	1.403398e-02
600           	wall_b	2.377584e-04	9.502201e-02	1.398469e-02
600           	defaultFaces	2.386366e-04	1.090331e-01	1.281257e-02
700           	wall_b	2.152256e-04	9.502168e-02	1.314502e-02
700           	defaultFaces	2.190707e-04	1.090327e-01	1.217650e-02
800           	wall_b	1.973166e-04	9.502124e-02	1.255187e-02
800           	defaultFaces	2.018685e-04	1.090320e-01	1.184624e-02
900           	wall_b	1.797995e-04	9.502157e-02	1.212454e-02
900           	defaultFaces	1.840083e-04	1.090324e-01	1.164974e-02
1000          	wall_b	1.610059e-04	9.502200e-02	1.179587e-02
1000          	defaultFaces	1.533375e-04	1.090331e-01	1.150796e-02
1100          	wall_b	1.425426e-04	9.502166e-02	1.153543e-02
1100          	defaultFaces	1.265562e-04	1.090326e-01	1.143441e-02
1200          	wall_b	1.277208e-04	9.502123e-02	1.134226e-02
1200          	defaultFaces	1.157276e-04	1.090319e-01	1.136214e-02
1300          	wall_b	1.183705e-04	9.502160e-02	1.119426e-02
1300          	defaultFaces	1.050061e-04	1.090324e-01	1.126972e-02
1400          	wall_b	1.129727e-04	9.502202e-02	1.107386e-02
1400          	defaultFaces	9.358418e-05	1.090331e-01	1.113624e-02
1500          	wall_b	1.073667e-04	9.502161e-02	1.096987e-02
1500          	defaultFaces	8.609912e-05	1.090326e-01	1.098089e-02
1600          	wall_b	9.934059e-05	9.502122e-02	1.091016e-02
1600          	defaultFaces	7.967697e-05	1.090319e-01	1.084336e-02
1700          	wall_b	9.182303e-05	9.502166e-02	1.087569e-02
1700          	defaultFaces	7.362714e-05	1.090325e-01	1.067405e-02
1800          	wall_b	8.495570e-05	9.502201e-02	1.083091e-02
1800          	defaultFaces	6.816092e-05	1.090331e-01	1.033450e-02
1900          	wall_b	7.915834e-05	9.502156e-02	1.075649e-02
1900          	defaultFaces	6.361882e-05	1.090325e-01	1.007422e-02
2000          	wall_b	7.466759e-05	9.502124e-02	1.073483e-02
2000          	defaultFaces	6.014854e-05	1.090320e-01	1.001078e-02
2100          	wall_b	7.143187e-05	9.502169e-02	1.075674e-02
2100          	defaultFaces	5.766028e-05	1.090326e-01	9.996884e-03
2200          	wall_b	6.921188e-05	9.502200e-02	1.078335e-02
2200          	defaultFaces	5.592527e-05	1.090331e-01	9.979381e-03
2300          	wall_b	6.766904e-05	9.502154e-02	1.079639e-02
2300          	defaultFaces	5.467462e-05	1.090325e-01	9.918692e-03
2400          	wall_b	6.631454e-05	9.502124e-02	1.080586e-02
2400          	defaultFaces	5.357480e-05	1.090320e-01	9.830954e-03
2500          	wall_b	6.500444e-05	9.502172e-02	1.082222e-02
