# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.598581e-01	2.051462e-01	2.026331e-01
0             	defaultFaces	1.463813e-01	2.133845e-01	2.021248e-01
100           	wall_b	4.093322e-03	4.171776e-01	7.178474e-02
100           	defaultFaces	4.100630e-03	4.102432e-01	6.669140e-02
200           	wall_b	1.386119e-03	1.786967e-01	3.662204e-02
200           	defaultFaces	1.372116e-03	1.784533e-01	3.329727e-02
300           	wall_b	7.845690e-04	1.185623e-01	2.646066e-02
300           	defaultFaces	7.632201e-04	1.101662e-01	2.408047e-02
400           	wall_b	4.751933e-04	9.582518e-02	2.203680e-02
400           	defaultFaces	4.853641e-04	9.240008e-02	2.000001e-02
500           	wall_b	3.694732e-04	8.545123e-02	1.957017e-02
500           	defaultFaces	3.507534e-04	1.075408e-01	1.769382e-02
600           	wall_b	3.214609e-04	8.007825e-02	1.802935e-02
600           	defaultFaces	3.065668e-04	1.164201e-01	1.651111e-02
700           	wall_b	2.847860e-04	7.984660e-02	1.701828e-02
700           	defaultFaces	2.712637e-04	1.185678e-01	1.589107e-02
800           	wall_b	2.534387e-04	7.731906e-02	1.630536e-02
800           	defaultFaces	2.410010e-04	1.150085e-01	1.543250e-02
900           	wall_b	2.159472e-04	7.776508e-02	1.577447e-02
900           	defaultFaces	2.027691e-04	1.158115e-01	1.515307e-02
1000          	wall_b	1.795117e-04	7.913477e-02	1.536515e-02
1000          	defaultFaces	1.479209e-04	1.213913e-01	1.499063e-02
1100          	wall_b	1.688725e-04	7.850562e-02	1.508460e-02
1100          	defaultFaces	1.244869e-04	1.236171e-01	1.484233e-02
1200          	wall_b	1.604623e-04	7.619481e-02	1.488372e-02
1200          	defaultFaces	1.134663e-04	1.214116e-01	1.463290e-02
1300          	wall_b	1.493489e-04	7.350132e-02	1.468525e-02
1300          	defaultFaces	1.044066e-04	1.147286e-01	1.435818e-02
1400          	wall_b	1.393397e-04	7.350132e-02	1.459314e-02
1400          	defaultFaces	9.655412e-05	1.056166e-01	1.414416e-02
1500          	wall_b	1.314123e-04	7.350132e-02	1.455453e-02
1500          	defaultFaces	9.019311e-05	9.368664e-02	1.398769e-02
1600          	wall_b	1.245768e-04	7.350132e-02	1.450321e-02
1600          	defaultFaces	8.503624e-05	7.979217e-02	1.356978e-02
1700          	wall_b	1.196385e-04	7.350132e-02	1.444004e-02
1700          	defaultFaces	8.128899e-05	7.484157e-02	1.327685e-02
1800          	wall_b	1.156508e-04	7.350132e-02	1.441208e-02
1800          	defaultFaces	7.845564e-05	7.456124e-02	1.321976e-02
1889          	wall_b	1.123431e-04	7.350133e-02	1.447569e-02
1889          	defaultFaces	7.638567e-05	7.244281e-02	1.322475e-02
