# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.434410e-01	1.841059e-01	1.820804e-01
0             	defaultFaces	1.295938e-01	1.923780e-01	1.816701e-01
100           	wall_b	2.502904e-03	3.999012e-01	6.245094e-02
100           	defaultFaces	2.448664e-03	3.650028e-01	5.980018e-02
200           	wall_b	1.079194e-03	1.761711e-01	3.125638e-02
200           	defaultFaces	1.035401e-03	1.664756e-01	3.039120e-02
300           	wall_b	5.499591e-04	1.244229e-01	2.270949e-02
300           	defaultFaces	5.568555e-04	1.624197e-01	2.251928e-02
400           	wall_b	3.148190e-04	1.046685e-01	1.936080e-02
400           	defaultFaces	3.186750e-04	1.624152e-01	1.926234e-02
500           	wall_b	2.043114e-04	1.046692e-01	1.775570e-02
500           	defaultFaces	2.070092e-04	1.499094e-01	1.753680e-02
600           	wall_b	1.469816e-04	1.046690e-01	1.686141e-02
600           	defaultFaces	1.515647e-04	1.288969e-01	1.659548e-02
700           	wall_b	1.066233e-04	1.046685e-01	1.634959e-02
700           	defaultFaces	1.072239e-04	1.358290e-01	1.623001e-02
800           	wall_b	9.760714e-05	1.046688e-01	1.609777e-02
800           	defaultFaces	9.831913e-05	1.475365e-01	1.618260e-02
900           	wall_b	8.672489e-05	1.046677e-01	1.601684e-02
900           	defaultFaces	9.015746e-05	1.617049e-01	1.621054e-02
1000          	wall_b	8.258715e-05	1.046707e-01	1.602603e-02
1000          	defaultFaces	8.532247e-05	1.722333e-01	1.623051e-02
1100          	wall_b	8.400609e-05	1.046681e-01	1.607144e-02
1100          	defaultFaces	8.578970e-05	1.784843e-01	1.625586e-02
1200          	wall_b	8.650313e-05	1.046688e-01	1.609856e-02
1200          	defaultFaces	8.779087e-05	1.863597e-01	1.639225e-02
1300          	wall_b	8.768974e-05	1.046692e-01	1.605661e-02
1300          	defaultFaces	9.045994e-05	2.008314e-01	1.618042e-02
1400          	wall_b	7.877257e-05	1.046709e-01	1.597871e-02
1400          	defaultFaces	8.535761e-05	2.209712e-01	1.606294e-02
1500          	wall_b	7.205714e-05	1.046690e-01	1.594897e-02
1500          	defaultFaces	7.810091e-05	2.376147e-01	1.610660e-02
1600          	wall_b	6.867857e-05	1.046689e-01	1.593640e-02
1600          	defaultFaces	7.237800e-05	2.413514e-01	1.617857e-02
1700          	wall_b	6.263179e-05	1.046688e-01	1.591664e-02
1700          	defaultFaces	6.572749e-05	2.360618e-01	1.622907e-02
1800          	wall_b	5.760646e-05	1.046689e-01	1.589870e-02
1800          	defaultFaces	5.979588e-05	2.410308e-01	1.625694e-02
1893          	wall_b	5.314356e-05	1.046674e-01	1.587825e-02
1893          	defaultFaces	5.512232e-05	2.448019e-01	1.625396e-02
