# Region type : patch ent
# Faces  :    212
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	0.000000e+00
2             	0.000000e+00
3             	0.000000e+00
4             	-8.605328e-02
5             	-7.840677e-02
6             	-6.338808e-02
7             	-5.055313e-02
8             	-4.709051e-02
9             	-3.655369e-02
10            	-2.596402e-02
11            	-1.817481e-02
12            	-1.272237e-02
13            	-8.905658e-03
14            	-6.233960e-03
15            	-4.363772e-03
16            	-3.054641e-03
17            	-2.138248e-03
18            	-1.496774e-03
19            	-1.047742e-03
20            	-7.334192e-04
21            	-5.133934e-04
22            	-3.593754e-04
23            	-2.515628e-04
24            	-1.760940e-04
25            	-1.232658e-04
26            	-8.628604e-05
27            	-6.040022e-05
28            	-4.228016e-05
29            	-2.959611e-05
30            	-2.071728e-05
31            	-1.450209e-05
32            	-1.015147e-05
33            	-7.106026e-06
34            	-4.974218e-06
35            	-3.481953e-06
36            	-2.437367e-06
37            	-1.706157e-06
38            	-1.194310e-06
39            	-8.360169e-07
40            	-5.852118e-07
41            	-4.096483e-07
42            	-2.867538e-07
43            	-2.007276e-07
44            	-1.405094e-07
45            	-9.835655e-08
46            	-6.884958e-08
47            	-4.819471e-08
48            	-3.373630e-08
49            	-2.361541e-08
50            	-1.653078e-08
51            	-1.157155e-08
52            	-8.100085e-09
53            	-5.670059e-09
54            	-3.969041e-09
55            	-2.778329e-09
56            	-1.944830e-09
57            	-1.361381e-09
58            	-9.529669e-10
59            	-6.670768e-10
60            	-4.669538e-10
61            	-3.268676e-10
62            	-2.288073e-10
63            	-1.601651e-10
64            	-1.121156e-10
65            	-7.848092e-11
66            	-5.493664e-11
67            	-3.845565e-11
68            	-2.691896e-11
69            	-1.884327e-11
70            	-1.319029e-11
71            	-9.233202e-12
72            	-6.463241e-12
73            	-4.524269e-12
74            	-3.166988e-12
75            	-2.216892e-12
76            	-1.551824e-12
77            	-1.086277e-12
78            	-7.603939e-13
79            	-5.322757e-13
80            	-3.725930e-13
81            	-2.608151e-13
82            	-1.825706e-13
83            	-1.277994e-13
84            	-8.945958e-14
85            	-6.262170e-14
86            	-4.383519e-14
87            	-3.068463e-14
88            	-2.147924e-14
89            	-1.503547e-14
90            	-1.052483e-14
91            	-7.367381e-15
92            	-5.157167e-15
93            	-3.610017e-15
94            	-2.527012e-15
95            	-1.768908e-15
96            	-1.238236e-15
97            	-8.667650e-16
98            	-6.067355e-16
99            	-4.247148e-16
100           	-2.973004e-16
101           	-2.081103e-16
102           	-1.456772e-16
103           	-1.019740e-16
104           	-7.138182e-17
105           	-4.996728e-17
106           	-3.497709e-17
107           	-2.448397e-17
108           	-1.713878e-17
109           	-1.199714e-17
110           	-8.398000e-18
111           	-5.878600e-18
112           	-4.115020e-18
113           	-2.880514e-18
114           	-2.016360e-18
115           	-1.411452e-18
116           	-9.880163e-19
117           	-6.916114e-19
118           	-4.841280e-19
119           	-3.388896e-19
120           	-2.372227e-19
121           	-1.660559e-19
122           	-1.162391e-19
123           	-8.136739e-20
124           	-5.695717e-20
125           	-3.987002e-20
126           	-2.790902e-20
127           	-1.953631e-20
128           	-1.367542e-20
129           	-9.572792e-21
130           	-6.700955e-21
131           	-4.690668e-21
132           	-3.283468e-21
133           	-2.298427e-21
134           	-1.608899e-21
135           	-1.126229e-21
136           	-7.883606e-22
137           	-5.518524e-22
138           	-3.862967e-22
139           	-2.704077e-22
140           	-1.892854e-22
141           	-1.324998e-22
142           	-9.274984e-23
143           	-6.492489e-23
144           	-4.544742e-23
145           	-3.181319e-23
146           	-2.226924e-23
147           	-1.558847e-23
148           	-1.091193e-23
149           	-7.638348e-24
150           	-5.346844e-24
151           	-3.742790e-24
152           	-2.619953e-24
153           	-1.833967e-24
154           	-1.283777e-24
155           	-8.986440e-25
156           	-6.290508e-25
157           	-4.403356e-25
158           	-3.082349e-25
159           	-2.157644e-25
160           	-1.510351e-25
161           	-1.057246e-25
162           	-7.400720e-26
163           	-5.180504e-26
164           	-3.626353e-26
165           	-2.538447e-26
166           	-1.776913e-26
167           	-1.243839e-26
168           	-8.706873e-27
169           	-6.094811e-27
170           	-4.266368e-27
171           	-2.986457e-27
172           	-2.090520e-27
173           	-1.463364e-27
174           	-1.024355e-27
175           	-7.170484e-28
176           	-5.019339e-28
177           	-3.513537e-28
178           	-2.459476e-28
179           	-1.721633e-28
180           	-1.205143e-28
181           	-8.436003e-29
182           	-5.905202e-29
183           	-4.133641e-29
184           	-2.893549e-29
185           	-2.025484e-29
186           	-1.417839e-29
187           	-9.924873e-30
188           	-6.947411e-30
189           	-4.863188e-30
190           	-3.404231e-30
191           	-2.382962e-30
192           	-1.668073e-30
193           	-1.167651e-30
194           	-8.173560e-31
195           	-5.721492e-31
196           	-4.005044e-31
197           	-2.803531e-31
198           	-1.962472e-31
199           	-1.373730e-31
200           	-9.616111e-32
201           	-6.731278e-32
202           	-4.711895e-32
203           	-3.298326e-32
204           	-2.308828e-32
205           	-1.616180e-32
206           	-1.131326e-32
207           	-7.919281e-33
208           	-5.543497e-33
209           	-3.880448e-33
210           	-2.716313e-33
211           	-1.901419e-33
212           	-1.330994e-33
213           	-9.316955e-34
214           	-6.521869e-34
215           	-4.565308e-34
216           	-3.195716e-34
217           	-2.237001e-34
218           	-1.565901e-34
219           	-1.096130e-34
220           	-7.672913e-35
221           	-5.371039e-35
222           	-3.759727e-35
223           	-2.631809e-35
224           	-1.842266e-35
225           	-1.289587e-35
226           	-9.027106e-36
227           	-6.318974e-36
228           	-4.423282e-36
229           	-3.096297e-36
230           	-2.167408e-36
231           	-1.517186e-36
232           	-1.062030e-36
233           	-7.434210e-37
234           	-5.203947e-37
235           	-3.642763e-37
236           	-2.549934e-37
237           	-1.784954e-37
238           	-1.249468e-37
239           	-8.746273e-38
240           	-6.122391e-38
241           	-4.285674e-38
242           	-2.999972e-38
243           	-2.099980e-38
244           	-1.469986e-38
245           	-1.028990e-38
246           	-7.202932e-39
247           	-5.042052e-39
248           	-3.529437e-39
249           	-2.470606e-39
250           	-1.729424e-39
251           	-1.210597e-39
252           	-8.474178e-40
253           	-5.931924e-40
254           	-4.152347e-40
255           	-2.906643e-40
256           	-2.034650e-40
257           	-1.424255e-40
258           	-9.969785e-41
259           	-6.978850e-41
260           	-4.885195e-41
261           	-3.419636e-41
262           	-2.393745e-41
263           	-1.675622e-41
264           	-1.172935e-41
265           	-8.210547e-42
266           	-5.747383e-42
267           	-4.023168e-42
268           	-2.816218e-42
269           	-1.971352e-42
270           	-1.379947e-42
271           	-9.659626e-43
272           	-6.761738e-43
273           	-4.733217e-43
274           	-3.313252e-43
275           	-2.319276e-43
276           	-1.623493e-43
277           	-1.136445e-43
278           	-7.955118e-44
279           	-5.568582e-44
280           	-3.898008e-44
281           	-2.728605e-44
282           	-1.910024e-44
283           	-1.337017e-44
284           	-9.359116e-45
285           	-6.551381e-45
286           	-4.585967e-45
287           	-3.210177e-45
288           	-2.247124e-45
289           	-1.572987e-45
290           	-1.101091e-45
291           	-7.707635e-46
292           	-5.395344e-46
293           	-3.776741e-46
294           	-2.643719e-46
295           	-1.850603e-46
296           	-1.295422e-46
297           	-9.067955e-47
298           	-6.347569e-47
299           	-4.443298e-47
300           	-3.110309e-47
301           	-2.177216e-47
302           	-1.524051e-47
303           	-1.066836e-47
304           	-7.467851e-48
305           	-5.227496e-48
306           	-3.659247e-48
307           	-2.561473e-48
308           	-1.793031e-48
309           	-1.255122e-48
310           	-8.785852e-49
311           	-6.150096e-49
312           	-4.305067e-49
313           	-3.013547e-49
314           	-2.109483e-49
315           	-1.476638e-49
316           	-1.033647e-49
317           	-7.235527e-50
318           	-5.064869e-50
319           	-3.545408e-50
320           	-2.481786e-50
321           	-1.737250e-50
322           	-1.216075e-50
323           	-8.512525e-51
324           	-5.958767e-51
325           	-4.171137e-51
326           	-2.919796e-51
327           	-2.043857e-51
328           	-1.430700e-51
329           	-1.001490e-51
330           	-7.010430e-52
331           	-4.907301e-52
332           	-3.435111e-52
333           	-2.404578e-52
334           	-1.683204e-52
335           	-1.178243e-52
336           	-8.247701e-53
337           	-5.773391e-53
338           	-4.041374e-53
339           	-2.828962e-53
340           	-1.980273e-53
341           	-1.386191e-53
342           	-9.703338e-54
343           	-6.792337e-54
344           	-4.754636e-54
345           	-3.328245e-54
346           	-2.329771e-54
347           	-1.630840e-54
348           	-1.141588e-54
349           	-7.991116e-55
350           	-5.593781e-55
351           	-3.915647e-55
352           	-2.740953e-55
353           	-1.918667e-55
354           	-1.343067e-55
355           	-9.401468e-56
356           	-6.581028e-56
357           	-4.606719e-56
358           	-3.224704e-56
359           	-2.257293e-56
360           	-1.580105e-56
361           	-1.106073e-56
362           	-7.742513e-57
363           	-5.419759e-57
364           	-3.793832e-57
365           	-2.655682e-57
366           	-1.858977e-57
367           	-1.301284e-57
368           	-9.108989e-58
369           	-6.376293e-58
370           	-4.463405e-58
371           	-3.124383e-58
372           	-2.187068e-58
373           	-1.530948e-58
374           	-1.071664e-58
375           	-7.501645e-59
376           	-5.251151e-59
377           	-3.675806e-59
378           	-2.573064e-59
379           	-1.801145e-59
380           	-1.260801e-59
381           	-8.825610e-60
382           	-6.177927e-60
383           	-4.324549e-60
384           	-3.027184e-60
385           	-2.119029e-60
386           	-1.483320e-60
387           	-1.038324e-60
388           	-7.268269e-61
389           	-5.087788e-61
390           	-3.561452e-61
391           	-2.493016e-61
392           	-1.745111e-61
393           	-1.221578e-61
394           	-8.551046e-62
395           	-5.985732e-62
396           	-4.190013e-62
397           	-2.933009e-62
398           	-2.053106e-62
399           	-1.437174e-62
400           	-1.006022e-62
401           	-7.042154e-63
402           	-4.929508e-63
403           	-3.450655e-63
404           	-2.415459e-63
405           	-1.690821e-63
406           	-1.183575e-63
407           	-8.285024e-64
408           	-5.799517e-64
409           	-4.059662e-64
410           	-2.841763e-64
411           	-1.989234e-64
412           	-1.392464e-64
413           	-9.747248e-65
414           	-6.823073e-65
415           	-4.776151e-65
416           	-3.343306e-65
417           	-2.340314e-65
418           	-1.638220e-65
419           	-1.146754e-65
420           	-8.027278e-66
421           	-5.619094e-66
422           	-3.933366e-66
423           	-2.753356e-66
424           	-1.927349e-66
425           	-1.349145e-66
426           	-9.444012e-67
427           	-6.610808e-67
428           	-4.627566e-67
429           	-3.239296e-67
430           	-2.267507e-67
431           	-1.587255e-67
432           	-1.111079e-67
433           	-7.777550e-68
434           	-5.444285e-68
435           	-3.810999e-68
436           	-2.667700e-68
437           	-1.867390e-68
438           	-1.307173e-68
439           	-9.150210e-69
440           	-6.405147e-69
441           	-4.483603e-69
442           	-3.138522e-69
443           	-2.196965e-69
444           	-1.537876e-69
445           	-1.076513e-69
446           	-7.535591e-70
447           	-5.274914e-70
448           	-3.692440e-70
449           	-2.584708e-70
450           	-1.809295e-70
451           	-1.266507e-70
452           	-8.865548e-71
453           	-6.205883e-71
454           	-4.344118e-71
455           	-3.040883e-71
456           	-2.128618e-71
457           	-1.490033e-71
458           	-1.043023e-71
459           	-7.301160e-72
460           	-5.110812e-72
461           	-3.577568e-72
462           	-2.504298e-72
463           	-1.753008e-72
464           	-1.227106e-72
465           	-8.589741e-73
466           	-6.012819e-73
467           	-4.208973e-73
468           	-2.946281e-73
469           	-2.062397e-73
470           	-1.443678e-73
471           	-1.010574e-73
472           	-7.074021e-74
473           	-4.951815e-74
474           	-3.466270e-74
475           	-2.426389e-74
476           	-1.698473e-74
477           	-1.188931e-74
478           	-8.322515e-75
479           	-5.825761e-75
480           	-4.078032e-75
481           	-2.854623e-75
482           	-1.998236e-75
483           	-1.398765e-75
484           	-9.791356e-76
485           	-6.853949e-76
486           	-4.797764e-76
487           	-3.358435e-76
488           	-2.350905e-76
489           	-1.645633e-76
490           	-1.151943e-76
491           	-8.063603e-77
492           	-5.644522e-77
493           	-3.951165e-77
494           	-2.765816e-77
495           	-1.936071e-77
496           	-1.355250e-77
497           	-9.486748e-78
498           	-6.640724e-78
499           	-4.648507e-78
500           	-3.253955e-78
501           	-2.277768e-78
502           	-1.594438e-78
503           	-1.116106e-78
504           	-7.812745e-79
505           	-5.468921e-79
506           	-3.828245e-79
507           	-2.679771e-79
508           	-1.875840e-79
509           	-1.313088e-79
510           	-9.191616e-80
511           	-6.434131e-80
512           	-4.503892e-80
513           	-3.152724e-80
514           	-2.206907e-80
515           	-1.544835e-80
516           	-1.081384e-80
517           	-7.569691e-81
518           	-5.298784e-81
519           	-3.709149e-81
520           	-2.596404e-81
521           	-1.817483e-81
522           	-1.272238e-81
523           	-8.905666e-82
524           	-6.233966e-82
525           	-4.363776e-82
526           	-3.054643e-82
527           	-2.138250e-82
528           	-1.496775e-82
529           	-1.047743e-82
530           	-7.334199e-83
531           	-5.133939e-83
532           	-3.593757e-83
533           	-2.515630e-83
534           	-1.760941e-83
535           	-1.232659e-83
536           	-8.628612e-84
537           	-6.040028e-84
538           	-4.228020e-84
539           	-2.959614e-84
540           	-2.071730e-84
541           	-1.450211e-84
542           	-1.015148e-84
543           	-7.106033e-85
544           	-4.974223e-85
545           	-3.481956e-85
546           	-2.437369e-85
547           	-1.706158e-85
548           	-1.194311e-85
549           	-8.360176e-86
550           	-5.852124e-86
551           	-4.096486e-86
552           	-2.867541e-86
553           	-2.007278e-86
554           	-1.405095e-86
555           	-9.835664e-87
556           	-6.884965e-87
557           	-4.819475e-87
558           	-3.373633e-87
559           	-2.361543e-87
560           	-1.653080e-87
561           	-1.157156e-87
562           	-8.100092e-88
563           	-5.670065e-88
564           	-3.969045e-88
565           	-2.778332e-88
566           	-1.944832e-88
567           	-1.361383e-88
568           	-9.529678e-89
569           	-6.670774e-89
570           	-4.669542e-89
571           	-3.268679e-89
572           	-2.288076e-89
573           	-1.601653e-89
574           	-1.121157e-89
575           	-7.848099e-90
576           	-5.493669e-90
577           	-3.845569e-90
578           	-2.691898e-90
579           	-1.884329e-90
580           	-1.319030e-90
581           	-9.233210e-91
582           	-6.463247e-91
583           	-4.524273e-91
584           	-3.166991e-91
585           	-2.216894e-91
586           	-1.551826e-91
587           	-1.086278e-91
588           	-7.603946e-92
589           	-5.322762e-92
590           	-3.725933e-92
591           	-2.608153e-92
592           	-1.825707e-92
593           	-1.277995e-92
594           	-8.945966e-93
595           	-6.262176e-93
596           	-4.383523e-93
597           	-3.068466e-93
598           	-2.147926e-93
599           	-1.503549e-93
600           	-1.052484e-93
601           	-7.367388e-94
602           	-5.157171e-94
603           	-3.610020e-94
604           	-2.527014e-94
605           	-1.768910e-94
606           	-1.238237e-94
607           	-8.667658e-95
608           	-6.067361e-95
609           	-4.247152e-95
610           	-2.973007e-95
611           	-2.081105e-95
612           	-1.456773e-95
613           	-1.019741e-95
614           	-7.138189e-96
615           	-4.996732e-96
616           	-3.497713e-96
617           	-2.448399e-96
618           	-1.713879e-96
619           	-1.199715e-96
620           	-8.398008e-97
621           	-5.878606e-97
622           	-4.115024e-97
623           	-2.880517e-97
624           	-2.016362e-97
625           	-1.411453e-97
626           	-9.880172e-98
627           	-6.916121e-98
628           	-4.841284e-98
629           	-3.388899e-98
630           	-2.372229e-98
631           	-1.660561e-98
632           	-1.162392e-98
633           	-8.136747e-99
634           	-5.695723e-99
635           	-3.987006e-99
636           	-2.790904e-99
637           	-1.953633e-99
638           	-1.367543e-99
639           	-9.572801e-100
640           	-6.700961e-100
641           	-4.690673e-100
642           	-3.283471e-100
643           	-2.298430e-100
644           	-1.608901e-100
645           	-1.126231e-100
646           	-7.883614e-101
647           	-5.518529e-101
648           	-3.862971e-101
649           	-2.704079e-101
650           	-1.892856e-101
651           	-1.324999e-101
652           	-9.274992e-102
653           	-6.492495e-102
654           	-4.544746e-102
655           	-3.181322e-102
656           	-2.226926e-102
657           	-1.558848e-102
658           	-1.091194e-102
659           	-7.638355e-103
660           	-5.346849e-103
661           	-3.742794e-103
662           	-2.619956e-103
663           	-1.833969e-103
664           	-1.283778e-103
665           	-8.986448e-104
666           	-6.290514e-104
667           	-4.403360e-104
668           	-3.082352e-104
669           	-2.157646e-104
670           	-1.510352e-104
671           	-1.057247e-104
672           	-7.400727e-105
673           	-5.180509e-105
674           	-3.626356e-105
675           	-2.538449e-105
676           	-1.776914e-105
677           	-1.243840e-105
678           	-8.706881e-106
